timestamp,x,y,f
0.0000,4.3555,0.7031,3.8750
0.0500,4.4792,1.0026,4.0655
0.1000,4.3392,1.4388,3.5807
0.1500,3.9355,2.0117,3.8254
0.2000,3.3431,2.5195,3.7035
0.2500,2.8158,2.9004,3.7164
0.3000,2.3535,3.1543,3.7139
0.3500,4.2090,2.1191,0.0000
0.4000,4.2090,2.1191,0.0000
0.4500,4.2090,2.1191,2.9557
0.5000,5.2393,1.9499,3.2083
0.5500,5.7357,1.8457,3.2613
0.6000,6.0693,1.9043,3.3915
0.6500,6.0710,2.1582,3.5025
0.7000,5.3434,3.1934,3.4442
0.7500,4.9707,3.5840,3.5802
0.8000,2.6855,3.7695,0.0000
0.8500,2.6855,3.7695,0.0000
0.9000,2.6855,3.7695,2.8632
0.9500,3.0827,4.1309,2.8220
1.0000,3.1087,5.1921,2.9280
1.0500,2.9395,6.7773,2.8385
1.1000,2.5911,7.6335,2.8536
1.1500,1.9076,8.4733,2.8167
1.2000,1.4551,8.8086,3.1195
1.2500,3.4082,3.8867,0.0000
1.3000,3.4082,3.8867,0.0000
1.3500,3.4082,3.8867,3.0426
1.4000,5.2246,3.7207,3.1721
1.4500,6.8359,3.3594,3.2827
1.5000,7.3633,3.7109,2.9109
1.5500,7.3926,7.8320,2.8516
1.6000,7.1973,8.6328,3.0422
1.6500,5.9961,8.2910,3.1489
1.7000,3.8379,5.3027,0.0000
1.7500,3.8379,5.3027,0.0000
1.8000,3.8379,5.3027,2.3359
1.8500,4.0251,5.3597,2.2360
1.9000,4.3034,5.3711,2.1319
1.9500,4.8926,5.2881,2.5405
2.0000,5.4753,5.1660,2.1733
2.0500,5.8024,5.0863,2.1797
2.1000,6.2988,5.0781,1.9499
2.1500,3.6816,6.6211,0.0000
2.2000,3.6816,6.6211,0.0000
2.2500,3.6816,6.6211,2.8039
2.3000,3.9681,6.6797,3.0185
2.3500,4.2350,6.7025,3.0832
2.4000,4.4824,6.6895,3.0051
2.4500,5.3678,6.5072,2.7259
2.5000,6.0579,6.3997,2.7096
2.5500,6.5527,6.3672,2.7522
2.6000,4.6582,3.9746,0.0000
2.6500,4.6582,3.9746,0.0000
2.7000,4.6582,3.9746,3.6480
2.7500,4.8027,4.0723,3.5085
2.8000,4.9473,4.1699,3.4750
2.8500,5.0137,5.0586,3.3994
2.9000,5.0020,6.7383,3.2983
2.9500,4.9902,8.4180,3.2903
