timestamp,x,y,f
0.0000,2.5195,1.2012,2.9223
0.0500,2.8516,1.4893,3.1527
0.1000,3.4668,3.2910,3.0688
0.1500,3.0762,1.1621,0.0000
0.2000,3.0762,1.1621,0.0000
0.2500,3.0762,1.1621,3.3199
0.3000,7.0947,1.1523,3.3360
0.3500,6.1914,2.7246,3.0061
0.4000,3.7402,1.8164,0.0000
0.4500,3.7402,1.8164,0.0000
0.5000,3.7402,1.8164,3.6222
0.5500,4.1699,2.3242,3.6251
0.6000,6.1621,1.7578,0.0000
0.6500,6.1621,1.7578,0.0000
0.7000,6.1621,1.7578,3.8685
0.7500,5.3906,2.2363,3.3744
0.8000,3.6230,3.1641,0.0000
0.8500,3.6230,3.1641,0.0000
0.9000,3.6230,3.1641,3.8537
0.9500,6.0254,2.6953,3.4697
1.0000,4.5703,1.2695,0.0000
1.0500,4.5703,1.2695,0.0000
1.1000,4.5703,1.2695,3.3852
1.1500,4.7168,4.6582,3.0723
1.2000,3.6133,4.0625,0.0000
1.2500,3.6133,4.0625,0.0000
1.3000,3.6133,4.0625,3.1597
1.3500,6.2207,3.8379,3.0912
1.4000,2.4707,5.0488,0.0000
1.4500,2.4707,5.0488,0.0000
1.5000,2.4707,5.0488,3.9097
1.5500,7.3145,4.9121,3.9671
1.6000,1.7773,5.7715,0.0000
1.6500,1.7773,5.7715,0.0000
1.7000,1.7773,5.7715,2.5877
1.7500,1.2598,7.1191,2.4189
1.8000,3.2324,5.8105,0.0000
1.8500,3.2324,5.8105,0.0000
1.9000,3.2324,5.8105,3.0429
1.9500,3.8477,6.4551,3.5942
2.0000,5.4492,5.5176,0.0000
2.0500,5.4492,5.5176,0.0000
2.1000,5.4492,5.5176,3.1637
2.1500,6.1816,6.2207,3.2474
2.2000,7.4805,5.5371,0.0000
2.2500,7.4805,5.5371,0.0000
2.3000,7.4805,5.5371,3.7742
2.3500,8.8867,6.7773,3.1101
2.4000,3.1934,7.3047,0.0000
2.4500,3.1934,7.3047,0.0000
2.5000,3.1934,7.3047,3.8866
2.5500,6.6797,7.1094,3.6135
2.6000,4.5312,6.1816,0.0000
2.6500,4.5312,6.1816,0.0000
2.7000,4.5312,6.1816,2.3961
2.7500,4.7266,8.4668,2.5476
2.8000,1.9727,8.8281,0.0000
2.8500,1.9727,8.8281,0.0000
2.9000,1.9727,8.8281,2.3599
2.9500,8.0273,8.7598,2.3929
